task	dataset	horizon	model	mase	crps	mae	brier	auroc	n_eval
T1_rho_mod	synapse_real	32	toto_4m	10.632999	0.128253	0.330225			166
T1_rho_mod	synapse_real	64	toto_4m	11.815882	0.157323	0.366962			134
T1_rho_mod	synapse_real	96	toto_4m	11.932394	0.154680	0.370580			102
T3_rho_velocity_ema	synapse_real	32	toto_4m	0.754674		0.005699			166
T3_rho_velocity_ema	synapse_real	64	toto_4m	0.931401		0.007034			134
T3_rho_velocity_ema	synapse_real	96	toto_4m	0.827973		0.006253			102
T2_saturate_gt6	synapse_real	32	toto_4m				0.000000		166
T2_saturate_gt6	synapse_real	64	toto_4m				0.000000		134
T2_saturate_gt6	synapse_real	96	toto_4m				0.000000		102
T1_rho_mod	lab_linear_decay_fast	32	toto_4m	0.660969	0.033935	0.084351			274
T1_rho_mod	lab_linear_decay_fast	64	toto_4m	0.682193	0.034360	0.087059			242
T1_rho_mod	lab_linear_decay_fast	96	toto_4m	1.190379	0.055450	0.151912			210
T3_rho_velocity_ema	lab_linear_decay_fast	32	toto_4m	1.326767		0.036471			274
T3_rho_velocity_ema	lab_linear_decay_fast	64	toto_4m	1.910812		0.052526			242
T3_rho_velocity_ema	lab_linear_decay_fast	96	toto_4m	1.689229		0.046435			210
T2_saturate_gt6	lab_linear_decay_fast	32	toto_4m				0.004100		274
T2_saturate_gt6	lab_linear_decay_fast	64	toto_4m				0.006581		242
T2_saturate_gt6	lab_linear_decay_fast	96	toto_4m				0.003704		210
T1_rho_mod	lab_baseline_saturation	32	toto_4m	0.000000	0.000000	0.000000			274
T1_rho_mod	lab_baseline_saturation	64	toto_4m	0.000000	0.000000	0.000000			242
T1_rho_mod	lab_baseline_saturation	96	toto_4m	0.000000	0.000000	0.000000			210
T3_rho_velocity_ema	lab_baseline_saturation	32	toto_4m	0.000000		0.000000			274
T3_rho_velocity_ema	lab_baseline_saturation	64	toto_4m	0.000000		0.000000			242
T3_rho_velocity_ema	lab_baseline_saturation	96	toto_4m	0.000000		0.000000			210
T2_saturate_gt6	lab_baseline_saturation	32	toto_4m				0.000000		274
T2_saturate_gt6	lab_baseline_saturation	64	toto_4m				0.000000		242
T2_saturate_gt6	lab_baseline_saturation	96	toto_4m				0.000000		210
